height,width,label,mar,ratio,area,height_norm,width_norm
0.22,34.41,thanks,0.00639349007865475,156.40837996190925,7.570199999999999,0.004816112084063047,0.37499999999999994
0.13,34.32,thanks,0.003787878677509363,263.9979692463904,4.4616,0.0028458844133099825,0.37401918047079336
0.21,34.55,thanks,0.00607814743623307,164.52302608082817,7.255499999999999,0.004597197898423818,0.3765257192676547
2.42,35.18,thanks,0.06878908275187372,14.53718407554377,85.1356,0.05297723292469352,0.3833914559721011
5.38,36.78,thanks,0.14627514556076276,6.8364299560539115,197.8764,0.11777583187390543,0.4008282476024411
3.35,37.57,thanks,0.08916688610149359,11.21492202539641,125.85950000000001,0.07333625218914186,0.4094376634699215
5.88,38.56,thanks,0.1524896226014102,6.557822013975849,226.7328,0.1287215411558669,0.4202266782911944
8.53,40.01,thanks,0.21319669549620857,4.690503553282116,341.28529999999995,0.18673380035026269,0.43602877070619
14.35,47.25,thanks,0.30370369727611224,3.2926826973740284,678.0375,0.3141418563922942,0.5149302528334786
17.24,49.08,thanks,0.3512632365268289,2.846867584288423,846.1391999999998,0.3774080560420315,0.53487358326068
17.27,48.14,thanks,0.3587453186799892,2.7874926006084193,831.3778,0.3780647985989492,0.5246294681778553
16.01,47.65,thanks,0.3359915984052131,2.9762646485780975,762.8765000000001,0.3504816112084063,0.5192894507410636
14.7,47.36,thanks,0.31038850695970216,3.2217684883150692,696.192,0.32180385288966723,0.5161290322580645
15.11,47.25,thanks,0.3197883530203523,3.127067959823431,713.9475,0.33077933450087565,0.5149302528334786
16.43,47.38,thanks,0.3467707820436728,2.883749063679302,778.4534,0.35967600700525393,0.5163469921534438
15.19,49.21,thanks,0.30867709187813264,3.2396311231315917,747.4999,0.33253064798598947,0.5362903225806451
12.92,46.8,thanks,0.2760683701694793,3.6222907413087664,604.656,0.28283712784588444,0.5100261551874454
11.42,45.02,thanks,0.2536650321264986,3.9422063097892903,514.1284,0.25,0.49062772449869224
10.06,44.77,thanks,0.22470403786678494,4.4502977683600635,450.38620000000003,0.22022767075306482,0.4879032258064516
8.32,43.28,thanks,0.1922365944492469,5.201922451692013,360.0896,0.18213660245183888,0.47166521360069746
10.49,45.0,thanks,0.23311110593086434,4.2897994004004385,472.05,0.22964098073555167,0.490409764603313
13.34,46.55,thanks,0.28657357064288785,3.489504985794229,620.977,0.29203152364273205,0.5073016564952049
10.75,47.23,thanks,0.22760956536926605,4.393487963396469,507.72249999999997,0.23533274956217162,0.5147122929380993
14.88,49.27,thanks,0.30200933018044795,3.3111556914545908,733.1376000000001,0.3257443082311734,0.536944202266783
14.35,51.51,thanks,0.2785866767892317,3.589546788184893,739.1685,0.3141418563922942,0.5613557105492589
14.23,49.91,thanks,0.2851131980542337,3.5073785307534413,710.2193,0.3115148861646235,0.5439189189189189
14.57,48.77,thanks,0.2987492249590071,3.347288720158633,710.5789000000001,0.31895796847635727,0.5314952048823016
13.39,49.11,thanks,0.2726532218966968,3.6676621607421835,657.5829,0.2931260945709282,0.5352005231037489
